Model,Accuracy,Precision,Recall,F1 Score,Train Accuracy
Logistic Regression,0.8044692737430168,0.782608695652174,0.7297297297297297,0.7552447552447552,0.800561797752809
Decision Tree,0.7821229050279329,0.7272727272727273,0.7567567567567568,0.7417218543046358,0.9789325842696629
Random Forest,0.8156424581005587,0.7971014492753623,0.7432432432432432,0.7692307692307693,0.9789325842696629
SVM,0.8156424581005587,0.8153846153846154,0.7162162162162162,0.762589928057554,0.8426966292134831
